codigo,nome,preco_unit,qtd_estoque
91,"Learning Resources Serve It Up! Play Restaurant, Pretend Restaurant Set, 35 Pieces, Ages 3+",309.2,425
92,"Amscan 120175 Banner, 8' x 6 1/2"", Multi Color",3509.0,4405
93,"Melissa & Doug K’s Kids Whose Tail? 8-Page Soft Activity Book, The Original (Great Gift for Girls and Boys - Best for Babies and Toddlers, All Ages)",750263,3.27589
94,"Bachmann Old-Time Box Car - Pennsylvania LINES - N Scale, Prototypical Oxide Red",3599.0,0.7282
95,Jumbo Foil Star Cutout (gold) Party Accessory (1 count),3667.0,3552
96,Aquarius I Heart Unicorns Playing Cards,3684.36,4.34659
97,"Great Eastern Mega Man X4 9"" Plush",437602,193
98,"Robinson Racing Products Robinson Racing 1710 Hardened 10T Pinion Gear 32P, Brown/A",1583.85,1.66754
99,Maisto R/C 1:14 Scale Lamborghini Huracan Radio Control Vehicle (Colors May Vary),181.0,1.96817
100,Aquarius DC Wonder Woman Retro Playing Cards,2997.23,2.3
101,"MightySkins Skin Compatible with Parrot Bebop 2 – Slow Sloth | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",1231.03,4.45374
102,"Martha Stewart Crafts Stencil Tape, 32292",3589.3,1.16766
103,LEGO Friends Heartlake Surf Shop 41315 Building Kit (186 Pieces),3041.6,3169
104,amscan Thank Yous | Hello Kitty Collection | Party Accessory,3125.28,0.39
105,"Great Pretenders Fairy Blooms Deluxe Dress with Wings, Green, Medium",3239.61,3.7
106,"Thames & Kosmos Chem C2000 (V 2.0) Chemistry Set with 250 Experiments and 128 Page Lab Manual, Student Laboratory Quality Instruments & Chemicals",3361.54,2.79491
107,"The Doll Maker Precious Moments Dolls, Linda Rick, Lion, Lion of Courage, Wizard of Oz, 7 inch Doll",2625.52,1.0
108,Swing-N-Slide Blue Child Seat,3708.09,0.9
109,Kid O Myland UFO & Alien Light Interactive Learning Toy,164713,3.0
110,"Hasbro Little Pony Rainbow Dash Cuddle Pillow, Large, Blue",1583.55,0.812612
111,Jay Franco Nickelodeon JoJo Siwa Sweet Life Curtain/Drapes,2341.03,2.62862
112,Play-Doh Poop Troop Set with 12 Cans,1638.7,3.79
113,Marvel Select: Hulk Unleashed Action Figure,1762.0,2.9
114,Firefly: The Game - Esmeralda Game Expansion,464082,1.10599
115,Gym Dandy Teeter-Totter Home Seesaw Playground Set TT-210,1065.99,1.28178
116,Ultra Pro Gamers Bag - Red,2332.35,3861
117,"American Educational Vinyl Clever Catch Elementary Science Insects Ball, 24"" Diameter",3783.0,3.0
118,Banpresto 35783 My Hero Academia Enter The Hero Izuku Midoriya Figure,1868.9,1296
119,"Delta Children Bistro 2-Piece Chair Set, White with Driftwood",371746,0.7052
120,Nations The Dice Game Unrest Expansion,186719,4682
121,Educational Insights Nancy B's Science Club Binoculars and Wildlife Activity Journal,2048.12,4.77199
122,"Educational Insights Alphabet Transparent Stamps- Uppercase 5/8""",447.88,3.77
123,Enchantimals Styling Head- Brown Mailer,1561.62,3.96
124,Spirit Riding Free Small Doll & Horse Set - Abigail & Boomerang,3193.68,3.8487
125,Click N' Play Military Logistics Transport Unit 16 Piece Play Set with Accessories.,1355.01,0.29928
126,HiTec RCD 55013 HS-65HB Mighty Karbonite Feather Servo,3787.8,4.41281
127,"Canal Toys Power Dough Unicorns Interactive Dough (11Piece), Multicolor",3721.44,1.03249
128,COBI Small Army DW Twin-Turret Tank,2471.7,4.58429
129,Trend Enterprises Division 0-12 All Facts Skill Drill Flash Cards,3440.79,4.67908
130,Hitec RCD 44212 X4 Micro AC/DC 1 Cell LiPo Charger,536.1,0.190968
131,"Craft-tastic – Kindness Kit – Craft Kit Includes 8 Projects to Inspire Kindness, Bilingual",2972.65,4524
132,"Corolle Bebe Bath Oceane - 12""",1459.6,4.1716
133,"MasterPieces John Wayne Jigsaw Puzzle, America's Cowboy, Legendary Collection, 1000 Pieces",1768.96,1.59233
134,"Perler 80-22860 Instruction Pad for Fuse Beads, 86 Patterns, Summertime Fun Piece",2400.8,2.66988
135,Tiny Arcade Pole Position,3888.05,3075
136,WWE Rey Mysterio Elite Collection Action Figure,2067.34,3.22451
137,Dragon Ball Fighterz - PlayStation 4,3662.75,2.72
138,Original 3D Crystal Puzzle - Swan,2456.45,4.6
139,"Dark Horse Deluxe The Umbrella Academy Playing Cards, Multicolor",1503.5,2.05402
140,"Strawberry Shortcake Classic Doll, 6""",1630.84,3.30341
141,"Darice Doll Hat: Black Felt Top Hat, 2 inches, 1 Piece",3412.0,3.26
142,"Sugarbooger Silicone Teether Set-of-Two, Happy Cactus",1995.62,1.47849
143,"Wild Republic Horse Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins, Brown 12 Inches",188917,4.88366
144,LEGO Technic Power Functions Motor Set 8293 (10 Pieces),2816.92,2.03712
145,"WalthersTrainline Ready to Run Union Pacific #908814 Firefighting Car, Green/Black",807797,1.75448
146,Punto Tin -The Pt.-to Pt. Card Game,2307.0,3.28452
147,"SpongeBob SquarePants, Masterpiece Memes, 8” Collectible Vinyl Figure, Handsome Squidward (Closed Eyes)",1542.27,1677
148,Melissa & Doug Bella Butterfly Net,1164.19,4.82257
149,Pokemon 3 Inch Alolan Muk Articulated Battle Action Figure,2555.11,4.06849
150,"Jada Limited Edition 4"" METALFIGS - Power Rangers - RED Ranger M334 99270",2156.0,0.0539
151,Medieval Princess Fuschia Child Costume,70367,3.15412
152,Vallejo Imperial Rome Era Paint Set,2479.15,2.80008
153,Indie Boards and Cards Flash Point Fire Rescue 2nd Story,374898,4.39
154,Dremel 7103 5/64-Inch Diamond Wheel Point,2990.62,2.82
155,"American Greetings My Little Pony Swirl Decorations, 12-Count, Multicolored - AMI 675513",1077.69,1.54605
156,Lightseekers Trading Card Game Intro Pack,285051,3.03
157,"Amscan Party Supplies, Multicolor",908309,3.7106
158,Nuts,3258.03,3.61044
159,Carson Dellosa Key Education Verbs: Actions Learning Cards (845005),1635.31,5.0
160,theory11 Product(RED) Playing Cards,2359.89,4903
161,Disney Pixar Cars Trainer Cruz Ramirez,2568.17,1.34931
162,Mudpuppy Bonjour Paris! Magnetic Figures,1417.23,1.11614
163,"Fashion Angels We Smell Sweet Bracelet Kit, Assorted",1477.03,2.67371
164,"Mayflower Distributing Company 55270 U OF VIRGINIA - BEV NAPKIN 24CT, One size, Multicolor",1218.0,2.03075
165,Forum Novelties Men's Adult Suede Cowboy Hat,767.1,2.04913
166,DC Collectibles DC Artists Alley: Wonder Woman by Chris Uminga Limited Edition Vinyl PVC Figure,1488.06,0.5217
167,Transformers Bumblebee Movie Muscle Bumblebee Costume for Infants,850573,4.14434
168,Carrera 23856 Ferrari 512 S Berlinetta Scuderia Filipinetti #3 1970 Digital 124 Slot Car 1:24 Scale,3418.88,1.7
169,"Nick Jr. Dora the Explorer Child's Dora Costume with Backpack, Small",1721.08,0.614965
170,"Amscan 399918 6 Piece Game Day Photo Props Kit, One Size, Multicolor",3777.07,3.28
171,"Forum Novelties Men's Standard Adult All Wrapped Up Ugly Christmas Sweater, Naughty Stocking, Large",2896.52,0.2467
172,"Sport Squad HX40 40 inch Table Top Air Hockey Table for Kids and Adults - Electric Motor Fan - Includes 2 Pushers and 2 Air Hockey Pucks - Great for Playing on The Floor, Tabletop, or Dorm Room",42405,1.88717
173,BeginAgain BuddyBlocks Safari Animals - Matching and Problem Solving - Kids 18 Months and Up,1886.98,0.880836
174,Snow White and The Huntsman Deluxe Queen Ravenna Costume,704066,3.73761
175,"Skip Hop Bandana Buddies Baby Activity and Teething Toy with Multi-Sensory Rattle and Textures, Elephant",2890.05,1218
176,"American Educational Inflatable World Globe, 24""",3856.33,2.09754
177,Gowi Toys Austria Police Van with Police Play Figures,2114.67,3.5
178,Bendon Finding Dory Sticker Box,2702.0,4.21172
179,Playmobil My Café,3478.04,3.45
180,4M Glow-In-The-Dark 3D Dinosaur,1021.25,2.3
181,Battat – 3 Car Garage – Shape Sorting Toy Garage with Keys and 3 Toy Cars for Toddlers 2 years + (5-Pcs),1258.4,1.96817
182,RoomMates My Little Pony Fluttershy Peel and Stick Giant Wall Decals,1021.33,2.35
183,Funko Pop! Marvel: Avengers Endgame - Iron Spider with Nano Gauntlet,1316.0,2.30724
184,"Transformers Toys Cyberverse Action Attackers: 1-Step Changer Skybyte Action Figure - Repeatable Driller Drive Action Attack - for Kids Ages 6 & Up, 4.25""",2781.9,4.7163
185,"amscan Pretty Potion Witch Halloween Costume for Girls, with Included Accessories",3506.86,2409
186,"Eureka Back to School Gold Glitter Star Stickers for Kids and Teachers, 72pc",1416.55,0.813702
187,Faber-Castell Creative Studio Goldfaber Aqua Watercolor Pencils - Tin of 12 Colors,2516.3,2.96338
188,Medicom Neon Genesis Evangelion: Eva Evangelion Unit 01 Shogo-Ki Maf Ex Action Figure,2989.45,1.51147
189,"Lionel FasTrack Electric O Gauge, O36 Curve Track, 4-Pack",1474.6,0.0
190,Rubies Devil Girls Child Red Demon Costume,931849,1.58
191,"Bright Starts Rattle & Shake Barbell Toy, Ages 3 months +",1056.0,3.92421
192,Pete The Cat Groovy Buttons Mini Stickers,1861.15,0.1
193,"Disney Rapunzel Acrylic Key Ring, Multicolor",730.49,0.0
194,"Fisher-Price #Selfie Fun Phone, Baby Rattle, Mirror and Teething Toy",930294,1.0
195,Rubie's Costume Womens Police Costume,2906.61,4.8131
196,"LEGO Creator Expert Gingerbread House 10267 Building Kit, New 2020 (1,477 Pieces)",3936.35,0.0527184
197,Folkmanis Standing Bear Hand Puppet,1038.74,1.95687
198,Pro Series CLM-16 Red Plastic Scoring Pills for Kelly Pool in Hang Pack,281454,4383
199,Awesome Paw Patrol Bundle of 3 Pieces,3519.85,2236
200,Rubie's Suicide Squad Joker Teeth Adult Costume,1785.83,1191
201,"Papo Wild Animal Kingdom Figure, Cheetah with Cub",2980.9,0.9444
202,"3DLightFX Nickelodeon Tent, Leonardo's Katana",234768,3.47198
203,"DC Lantern 2.75"" PVC Figure, Green",693365,4.9124
204,"Nickelodeon's Dora and the Lost City of Gold Nickelodeon's Dora & The Lost City of Gold: Boots, Multicolor",1685.25,2.23601
205,"Star Wars: The Force Awakens Child's Stormtrooper Costume, Medium",3206.17,2.9
206,Ceaco Perfect Piece Count Puzzle - Thomas Kinkade Disney Dreams Collection - Beauty and the Beast,3713.82,1.3285
207,Disney Belle Soft Touch PVC Key Ring,2608.11,1.49495
208,"Forum Novelties Prince Charming Child's Costume, Small",1334.54,0.995955
209,Rubie's Costume Dc Heroes and Villains Collection Joker Latex Mask,1860.87,3.26
210,"VTech Click and Count Remote, Black",3186.51,1.6241
211,Daron United 747 Single Plane,1803.19,552
212,"FOCO DC Comics Justice League Character Bobble, Superman",3536.79,3.01054
213,"amscan Frozen 2 Birthday, Metallic Blowouts, Party Favor, 7.25"", 8 Ct.",2424.56,0.9796
214,"BePuzzled Original 3D Crystal Jigsaw Puzzle - Wolf Animal Assembly Brain Teaser, Fun Model Toy Gift Decoration for Adults & Kids Age 12 and Up, Black, 37 Pieces (Level 1)",1860.22,1.63785
215,TOMY John Deere Learn 'n Pop Farmyard Friends Toy,3882.48,3.0153
216,Forum Novelties Jolly Elf Adult Costume,866342,14
217,Melissa & Doug Disney Sofia the First and Princess Amber Magnetic Dress-Up Wooden Doll Pretend Play Set (40+ pcs),1378.03,2.67603
218,"Melissa & Doug Created By Me! Heart Beads Wooden Bead Set - The Original (Jewelry-Making Kit, Over 120 Beads, 5 Cords, Great Gift for Girls and Boys – Best for 4, 5, 6, 7 and 8 Year Olds)",3872.99,4.15315
219,Eureka Educational Blue Harmony Assorted Diamonds (841357),3006.17,0.7551
220,"Wild Republic Great White Shark Plush Stuffed Animal Toy, Gifts for Kids, Cuddlekins 20 Inches",3765.05,0.2
221,Privateer Press Warmachine - Convergence of Cyriss - Accretion Servitors Model Kit,213156,4.4542
222,Entertainment Earth Designer Series Wonder Woman by Darwyn Cooke Action Figure,897376,2.99934
223,Entertainment Earth Batman Black & White 1st Appearance by Bob Kane Figure,1460.9,1.68022
224,"Stephen Joseph Cape, Unicorn",1005.31,4.0
225,Yu-Gi-Oh! Cards: Cyberse Link Structure Deck,2100.95,1.67291
226,"Huffy Disney Princess Kid Bike 12 inch & 16 inch, Quick Connect Assembly & Regular Assembly, Pink",482.79,1.1036
227,"Wild Republic Cuddlekin Three Toed Sloth 12"" Plush",427.87,3.89506
228,In the Breeze Silver Sparkle Tails,846711,4.0
229,X-Shot Chaos Orbit Dart Ball Blaster (100 Rounds) - Double Blaster Pack by Zuru,410.5,4.3
230,Transformers TCG: Bumblebee Vs. Megatron 2-Player Starter Set | 1 Ready-to-Play Deck | 44 Cards Incl. Bumblebee,2971.29,167
231,"EVAN-MOOR 4545 Skill Sharpeners Math Book, Grade 1, 0.5"" Height, 8.5"" Width, 11"" Length",619461,4.0544
232,"Mrs. Grossman's Outer Space Reusable Sticker Activity Set, Multicolor",2171.02,0.296243
233,Bachmann Trains Norfolk and Western Flat Car,780328,3.24121
234,Bigjigs Rail Wooden Fairy Town Train Set - 75 Play Pieces,1520.33,3.47038
235,"Lionel Racing, Chase Elliott, Napa Nightvision, 2018, Chevrolet Camaro, NASCAR Diecast 1: 24 Scale",3866.26,1.0
236,Calplush Safari Friends Black Panther Plush Animal Toy,1369.2,1.9
237,Magic Cabin 25-Piece Carpenter's Essentials Set,554.0,0.998572
238,Backyard Discovery Woodland All Cedar Wood Playset Swing Set,1226.58,0.151711
239,"Safety 1st Rubber TempGuard, Ducky",2135.44,2.2572
240,"Horizon Group USA Painting Panel Canvas Boards, 9x12, Pack of 12",1490.86,2.81206
241,Happy Trails Zebra Plush Rocking Animal,2587.52,4607
242,"Wild Republic T-Rex Plush, Dinosaur Stuffed Animal, Plush Toy, Gifts for Kids, Dinosauria 17 Inches",358.54,4.8
243,"Du-Bro 223 1/8"" x 2' Large Super Blue Silicone Tubing",480453,4297
244,"Galison Joy to The World 1000 Piece Jigsaw Puzzle for Adults, Holiday Puzzle for Families with Festive Theme",1917.1,3.34
245,"Marvel: Animated Spider-Man Movie Mile Morales Spider-Man Collectible Figure, Multicolor",39214,1.8
246,"Tamiya TAM58646 1/18 R/C Konghead 6x6 (G6-01) Kit, Brown",2664.33,4.07451
247,"Schleich North America Tyrannosaurus Rex Toy Figure, Red",2345.64,1.4
248,Bachmann EMD 70ACe DCC Sound Value Equipped Diesel Locomotive - ILLINOIS TERMINAL #1072 (with operating ditch lights) - HO Scale,2132.03,0.955636
249,"edx Education School Friendly Playing Cards - Jumbo Size - Set of 56 - Multicolored Patterned Cards Numbered 0-13 for Gameplay - Teach Number Concepts, Counting, Matching and Probability",3868.67,3.68725
250,"Colorbok YPI50047 You Paint It Plaster Kit, Value Pack, Enchanted",1358.3,2.77234
251,Funko Pop! Keychain: Frozen 2 - Elsa,2102.73,3.3263
252,Rayne Longboards Demonseed Longboard Complete,3406.0,4.85521
253,"K2 Skate Men's Kinetic 80 Pro Inline Skate, Black White, 10.5",2122.94,2.6254
254,Center Enterprise CE6620 Circular Washable Vivid Orange Stamp Pad,3812.09,38
255,Funko Pop Games: Fortnite - Tomatohead,3128.0,1.49
256,K’NEX – Turbo Jet – 2-in-1 Building Set – 402 Pieces – Ages 7+ – Engineering Educational Toy,3152.6,3.91376
257,Kettler Advantage Indoor Table Tennis Bundle: 4 Player Set (4 Rackets/Paddles and 8 Balls),1684.95,4.9937
258,"Ravensburger Disney Princess Adorable Cinderella 100 Piece Glitter Jigsaw Puzzle for Kids – Every Piece is Unique, Pieces Fit Together Perfectly",1194.9,4.0
259,Folkmanis Mini Sitting Frog,800.56,2.12264
260,"Funko Pop Marvel: Runaways - Molly Collectible Figure, Multicolor",277529,0.26
261,"Delta Children Plastic Toddler Bed, Nickelodeon SpongeBob SquarePants",3179.0,3.7659
262,Yoshi's Crafted World - Nintendo Switch,959.0,2.51304
263,"Avengers Marvel Black Panther 6""-Scale Marvel Super Hero Action Figure Toy",360.0,2726
264,Swagtron Swagger 2 Plus Foldable Electric Scooter for Adults & Teens,362855,2.97266
265,"VTech Baby Lil' Critters Shake and Wobble Busy Ball Amazon Exclusive, Purple",2842.53,1.8
266,Wildkin Kids 17 Inch Backpack,2515.57,4.0677
267,Barbie Dolphin Magic Snorkel Fun Friends,1633.51,0.18362
268,Melissa & Doug Pretend Play Wooden Star Diner Restaurant With 40+ Accessories and Play Food,1947.7,3385
269,Mudpuppy Princesses Color in Crowns,972153,1.18899
270,WWE Rowan Elite Collection Action Figure,2114.42,3.95707
271,DIAMOND SELECT TOYS John Wick Vinimate,1435.0,1.62532
272,"Wild Republic Mountain Goat Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 8 Inches",3254.61,0.4027
273,Pokemon TCG: Mega Camerupt EX Premium Collection Box,1062.32,4.51186
274,Sun-Staches Costume Sunglasses Incredibles Edna Mode Glasses Party Favors UV400,337.0,3.35137
275,AMERICAN GREETINGS Bright Colors Latex Balloons | Pack of 15 | Party Decor,1914.56,469
276,GreenBrier Games Yashima Legends from Fairytale Board Game,2170.75,4277
277,Bachmann Industries New Haven 50' Plug Door Box Car,447.0,4.60375
278,"HARRY POTTER Collapsible Storage Cubes 2 Pack, Red",2627.22,0.8
279,"Animal Adventure | Popovers Travel Pillow | Orange Fox | Transforms from Character to Travel Pillow | 13"" x 8.5"" x 6",2138.83,2.66502
280,Plush Royal Crown (purple) Party Accessory (1 count) (1/Pkg),472247,2.89
281,Wind-Up Walking Families - Duck Family,2228.66,0.639483
282,"Melissa & Doug Kids Furniture, Wooden Table & 4 Chairs (White Table, Pastel Pink, Yellow, Green, Blue Chairs, 20.5” H x 23.5” W x 20” L, Great Girls and Boys – Best for 3, 4, 5, 6, 7 and 8 Year Olds)",137.7,2.0
283,Bohnanza: High Bohn Plus Bohnaparte Card Game,2261.49,3372
284,Hey! Play! Kids Pop-up Six-sided Ball Pit Tent,712301,1.96
285,Bandai Hobby MG 1/100 Gunner Zaku Warrior (Lunamaria Hawke Custom) Gundam Seed Destiny,2440.45,3.68073
286,DIAMOND SELECT TOYS Batman The Animated Series: Ra's Al Ghul Resin Bust Figure,1038.43,0.346233
287,Skywalker Trampolines 9x15 Blue Rectangle Spring Pad,911.86,3.6291
288,"Sticko 450188 Stickers, Shimmery Stars",934.12,1.53
289,"Step2 2-in-1 Toy Box & Art Lid | Plastic Toy & Art Storage Container, Grey",3771.19,1.68587
290,"9"" SOCCER BALL INFLATE",891255,4.7
291,Wood Photo Knobbed Puzzles for Kids,595115,1698
292,PRINZ Man Money Curse Fund Piggy Bank,2456.9,4.0
293,"Adora ToddlerTime Girl Doll, Macaraccoon, Weighted Vinyl Baby Doll Toy with Soft Body, 20-inch (Ages 6+)",3836.51,2.16031
294,"Ergobaby Metro Compact City Stroller Accessories, Backpack-Style Carry Bag",3075.98,3862
295,"LIL TOTS Princess 14"" Doll & Unicorn Set",3841.32,2.0
296,"Discovery Layers of The Earth Geology Sand Dig Kit by Horizon Group USA, 3-in-1 Earth Exploration",2111.06,4.0
297,"Gorilla Playsets 01-3036-G Malibu Playhouse Wooden Playhouse for Kids, Brown & Green",990.0,0.1808
298,"GUND Baby My First Christmas Reindeer Lovey Plush Blanket, 12"", Brown",3926.24,1.37455
299,Power Rangers 97376 Blaster Role Play,136.21,3.08238
